
  Obs  Income  Length_of_Employment  Length_of_Credit_History
-----  ------  --------------------  ------------------------
    1   27500                     2                         2
    2   29800                     1                         1
    3   31000                     3                         1
    4   33100                     3                         2
    5   36700                     4                         3
    6   38000                     5                         3
    7   41200                     6                         4
    8   44300                     5                         4
    9   45500                     4                         4
   10   48800                     6                         5
   11   50200                     6                         5
   12   53000                     7                         5
   13   59600                     8                         6
   14   62000                     9                         6
   15   68000                    10                         7
   16   73400                    11                         8
   17   76200                    12                         9
   18   81000                    12                         9
   19   88900                    13                        10
   20   97500                    15                        11

